player,name,cluster
/benjamin-mendy/profil/spieler/157495,Benjamin Mendy,3
/kyle-walker/profil/spieler/95424,Kyle Walker,2
/rico-lewis/profil/spieler/701057,Rico Lewis,3
/rodri/profil/spieler/357565,Rodri,1
/kalvin-phillips/profil/spieler/351749,Kalvin Phillips,2
/maximo-perrone/profil/spieler/668547,Máximo Perrone,4
/ilkay-gundogan/profil/spieler/53622,Ilkay Gündogan,2
/kevin-de-bruyne/profil/spieler/88755,Kevin De Bruyne,1
/bernardo-silva/profil/spieler/241641,Bernardo Silva,1
/cole-palmer/profil/spieler/568177,Cole Palmer,3
/phil-foden/profil/spieler/406635,Phil Foden,1
/jack-grealish/profil/spieler/203460,Jack Grealish,1
/riyad-mahrez/profil/spieler/171424,Riyad Mahrez,2
/erling-haaland/profil/spieler/418560,Erling Haaland,1
/julian-alvarez/profil/spieler/576024,Julián Álvarez,2
/aaron-ramsdale/profil/spieler/427568,Aaron Ramsdale,2
/matt-turner/profil/spieler/425306,Matt Turner,4
/william-saliba/profil/spieler/495666,William Saliba,2
/gabriel-magalhaes/profil/spieler/435338,Gabriel Magalhães,2
/jakub-kiwior/profil/spieler/425918,Jakub Kiwior,3
/rob-holding/profil/spieler/253341,Rob Holding,4
/oleksandr-zinchenko/profil/spieler/203853,Oleksandr Zinchenko,2
/kieran-tierney/profil/spieler/300716,Kieran Tierney,3
/ben-white/profil/spieler/335721,Ben White,2
/takehiro-tomiyasu/profil/spieler/331560,Takehiro Tomiyasu,3
/thomas-partey/profil/spieler/230784,Thomas Partey,2
/jorginho/profil/spieler/102017,Jorginho,2
/mohamed-elneny/profil/spieler/160438,Mohamed Elneny,4
/granit-xhaka/profil/spieler/111455,Granit Xhaka,2
/martin-odegaard/profil/spieler/316264,Martin Ødegaard,1
